purchase_id:4629, buyer_id:225, product_id:88, quantity:9, purchase_date:2023-04-23 10:30:13
purchase_id:4824, buyer_id:913, product_id:95, quantity:1, purchase_date:2023-06-02 21:49:05
purchase_id:9338, buyer_id:808, product_id:11, quantity:7, purchase_date:2023-10-21 01:53:21
purchase_id:8991, buyer_id:962, product_id:14, quantity:7, purchase_date:2023-09-18 17:58:39
purchase_id:6901, buyer_id:698, product_id:35, quantity:2, purchase_date:2023-01-05 02:06:51
purchase_id:1256, buyer_id:782, product_id:43, quantity:2, purchase_date:2023-10-22 12:54:14
purchase_id:4116, buyer_id:681, product_id:29, quantity:4, purchase_date:2023-04-08 11:20:06
purchase_id:2208, buyer_id:778, product_id:40, quantity:1, purchase_date:2022-11-15 15:57:35
purchase_id:4218, buyer_id:368, product_id:87, quantity:9, purchase_date:2023-05-16 01:07:44
purchase_id:6037, buyer_id:825, product_id:27, quantity:10, purchase_date:2023-09-24 00:39:18
purchase_id:5789, buyer_id:690, product_id:65, quantity:4, purchase_date:2023-07-11 18:21:31
purchase_id:4923, buyer_id:726, product_id:12, quantity:9, purchase_date:2023-05-04 21:15:53
purchase_id:5601, buyer_id:313, product_id:81, quantity:9, purchase_date:2023-10-13 07:02:25
purchase_id:9150, buyer_id:870, product_id:43, quantity:3, purchase_date:2023-06-03 08:12:47
purchase_id:9720, buyer_id:927, product_id:36, quantity:8, purchase_date:2022-12-02 15:03:44
purchase_id:1286, buyer_id:786, product_id:28, quantity:6, purchase_date:2023-06-30 04:39:56
purchase_id:1023, buyer_id:548, product_id:59, quantity:5, purchase_date:2022-12-25 11:10:50
purchase_id:4038, buyer_id:131, product_id:65, quantity:7, purchase_date:2023-04-25 08:42:48
purchase_id:6344, buyer_id:756, product_id:98, quantity:5, purchase_date:2023-01-12 22:08:32
purchase_id:2309, buyer_id:499, product_id:90, quantity:10, purchase_date:2023-09-15 17:02:56
purchase_id:1234, buyer_id:919, product_id:51, quantity:7, purchase_date:2022-12-07 00:00:13
purchase_id:4106, buyer_id:807, product_id:87, quantity:8, purchase_date:2023-04-27 14:11:22
purchase_id:8979, buyer_id:928, product_id:21, quantity:2, purchase_date:2023-03-10 09:49:39
purchase_id:7453, buyer_id:938, product_id:42, quantity:5, purchase_date:2022-11-08 21:54:50
purchase_id:4297, buyer_id:715, product_id:42, quantity:2, purchase_date:2023-07-21 09:31:36
purchase_id:8179, buyer_id:148, product_id:78, quantity:2, purchase_date:2023-01-30 15:54:06
purchase_id:5529, buyer_id:356, product_id:87, quantity:4, purchase_date:2023-01-28 03:44:27
purchase_id:1811, buyer_id:542, product_id:16, quantity:10, purchase_date:2022-12-12 18:43:05
purchase_id:6610, buyer_id:254, product_id:53, quantity:3, purchase_date:2023-03-31 00:14:32
purchase_id:1970, buyer_id:158, product_id:52, quantity:3, purchase_date:2023-09-11 14:39:35
purchase_id:8869, buyer_id:684, product_id:32, quantity:3, purchase_date:2022-11-27 01:54:39
purchase_id:5104, buyer_id:686, product_id:48, quantity:6, purchase_date:2023-04-26 07:13:53
purchase_id:2135, buyer_id:398, product_id:14, quantity:3, purchase_date:2023-05-27 02:56:04
purchase_id:1666, buyer_id:268, product_id:46, quantity:3, purchase_date:2023-03-15 00:45:41
purchase_id:9097, buyer_id:146, product_id:72, quantity:4, purchase_date:2023-05-21 20:23:41
purchase_id:7675, buyer_id:110, product_id:36, quantity:6, purchase_date:2023-02-17 04:42:31
